List ,Headword ,Related forms,Total frequency
7k,savoury,"savoury (166), savories (7), savory (60), savourier (0), savouries (18), savouriest (0), unsavory (0), unsavoury (113)",364
7k,sawn,"sawn (158), sawed (44), sawing (120), saws (97), unsawn (0)",419
7k,saxophone,"saxophone (94), sax (88), saxes (7), saxophones (14), saxophonist (45), saxophonists (4)",252
7k,scaffold,"scaffold (76), scaffolded (1), scaffolder (8), scaffolders (5), scaffolding (244), scaffoldings (2), scaffolds (1)",337
7k,scandinavia,"scandinavia (355), scandinavian (463), scandinavians (43)",861
7k,schema,"schema (294), schemas (89), schemata (101)",484
7k,scold,"scold (57), scolded (112), scolding (84), scoldings (2), scolds (19)",274
7k,scorch,"scorch (58), scorched (171), scorcher (24), scorchers (7), scorches (5), scorching (125)",390
7k,scour,"scour (71), scoured (138), scourer (4), scourers (8), scouring (139), scours (16)",376
7k,scrupulous,"scrupulous (132), scrupulously (127), scrupulousness (7), unscrupulous (232), unscrupulously (4), unscrupulousness (2)",504
7k,scum,"scum (587), scummy (21), scums (9)",617
7k,scurry,"scurry (35), scurried (128), scurries (9), scurrying (156)",328
7k,sear,"sear (40), seared (54), searing (169), searingly (8), sears (122)",393
7k,seclude,"seclude (5), secluded (269), secludes (0), secluding (2), seclusion (137), seclusions (2), seclusive (1)",416
7k,sect,"sect (251), sects (134)",385
7k,sectarian,"sectarian (337), nonsectarian (1), sectarianism (63)",401
7k,sedate,"sedate (97), sedated (42), sedately (46), sedateness (2), sedates (2), sedating (4), sedation (93), sedations (0), sedative (70), sedatives (46)",402
7k,seductive,"seductive (235), seductively (41), seductiveness (6)",282
7k,seismic,"seismic (317), seismically (9)",326
7k,sequel,"sequel (263), sequels (38)",301
7k,shabby,"shabby (412), shabbier (10), shabbiest (2), shabbily (22), shabbiness (25)",471
7k,shack,"shack (110), shacks (58)",168
7k,shampoo,"shampoo (305), shampooed (17), shampooing (31), shampoos (70)",423
7k,shingle,"shingle (262), shingles (64)",326
7k,shortfall,"shortfall (456), shortfalls (50)",506
7k,shrill,"shrill (244), shrilled (39), shriller (11), shrillest (1), shrilling (18), shrillness (9), shrilly (45)",367
7k,shun,"shun (89), shunned (128), shunning (25), shuns (10)",252
7k,simplistic,"simplistic (367), simplistically (26)",393
7k,skid,"skid (129), skidded (120), skidding (68), skids (47)",364
7k,skipper,"skipper (1026), skippered (42), skippering (14), skippers (75)",1157
7k,slant,"slant (154), slanted (111), slanting (117), slants (12)",394
7k,slime,"slime (157), slimes (6), slimy (158)",321
7k,sluggish,"sluggish (244), sluggishly (44), sluggishness (21)",309
7k,smother,"smother (94), smothered (178), smothering (68), smothers (19)",359
7k,smug,"smug (267), smugly (103), smugness (45)",415
7k,snail,"snail (313), snails (249)",562
7k,snapshot,"snapshot (158), snapshots (106)",264
7k,sneer,"sneer (172), sneered (181), sneerer (1), sneerers (2), sneering (93), sneeringly (13), sneerings (0), sneers (26)",488
7k,snob,"snob (117), snobberies (7), snobbery (122), snobbish (60), snobbishness (15), snobby (25), snobs (36)",382
7k,snore,"snore (92), snored (39), snorer (5), snorers (11), snores (50), snoring (182)",379
7k,snug,"snug (174), snugly (88), snugness (6)",268
7k,socioeconomic,"socioeconomic (161), socioeconomically (3)",164
7k,solitude,"solitude (352), solitudes (13)",365
7k,soluble,"soluble (351), insolubility (4), insoluble (189), solubility (96)",640
7k,soundly,"soundly (179), sounder (57), soundest (17), soundness (90), unsound (107), unsounder (0), unsoundest (0), unsoundly (0), unsoundness (15)",465
7k,spade,"spade (331), spadeful (3), spades (165)",499
7k,spaghetti,"spaghetti (275), spaghettis (0)",275
7k,spinach,"spinach (203), spinaches (0)",203
7k,splendour,"splendour (351), splendor (7), splendors (4), splendoured (5), splendours (40)",407
7k,spook,"spook (37), spooked (31), spookier (1), spookiest (0), spookiness (0), spooking (3), spooks (20), spooky (131)",223
7k,sporadic,"sporadic (341), sporadically (69)",410
7k,squeal,"squeal (122), squealed (114), squealer (3), squealers (4), squealing (113), squealings (1), squeals (47)",404
7k,squirm,"squirm (56), squirmed (98), squirming (71), squirms (13)",238
7k,stables,"stables (608), stabled (74), stabling (40)",722
7k,stale,"stale (390), staleness (16)",406
7k,starch,"starch (146), starched (84), starches (18), starchier (0), starchiest (0), starchily (2), starchiness (0), starching (3), starchy (45)",298
7k,stately,stately (377),377
7k,stationary,stationary (406),406
7k,staunch,"staunch (228), stauncher (0), staunchest (22), staunchly (67), staunchness (3)",320
7k,stealth,"stealth (167), stealthier (2), stealthiest (0), stealthily (69), stealthiness (2), stealths (0), stealthy (43)",283
7k,stigma,"stigma (269), stigmas (9)",278
7k,stint,"stint (227), stinted (10), stinting (4), stints (29), unstinted (8), unstinting (21), unstintingly (13)",312
7k,stratify,"stratify (6), stratification (369), stratifications (1), stratified (139), stratifies (0), stratifying (7)",522
7k,strenuous,"strenuous (312), strenuously (121), strenuousness (4)",437
7k,strew,"strew (20), strewed (13), strewing (24), strewn (351), strews (3)",411
7k,stronghold,"stronghold (210), strongholds (125)",335
7k,strut,"strut (101), struts (94), strutted (50), strutting (52)",297
7k,stub,"stub (89), stubby (109), stubs (69)",267
7k,stunt,"stunt (245), stunts (96)",341
7k,subconscious,"subconscious (290), subconsciously (135), subconsciousness (3)",428
7k,sublime,"sublime (254), sublimely (25), sublimities (1), sublimity (16)",296
7k,substantiate,"substantiate (156), substantiated (136), substantiates (6), substantiating (18), substantiation (14), substantiations (0), unsubstantiated (80)",410
7k,substrate,"substrate (330), substrates (93)",423
7k,subtlety,"subtlety (254), subtleties (112)",366
7k,subtract,"subtract (139), subtracted (80), subtracting (109), subtraction (93), subtractions (23), subtracts (8)",452
7k,subversive,"subversive (328), subversively (5), subversiveness (4), subversives (33)",370
7k,subway,"subway (142), subways (20)",162
7k,suffocate,"suffocate (56), suffocated (90), suffocates (9), suffocating (137), suffocation (92), suffocations (0)",384
7k,supernatural,"supernatural (344), supernaturally (6)",350
7k,supersede,"supersede (75), supercede (2), superceded (4), supercedes (1), superceding (2), supercedings (0), superseded (345), supersedes (42), superseding (20), supersedings (0)",491
7k,supremacy,"supremacy (433), supremacies (0), supremacist (10), supremacists (3)",446
7k,surmount,"surmount (50), insurmountable (106), insurmountably (1), surmountable (2), surmounted (181), surmounting (24), surmounts (9)",373
7k,surrogate,"surrogate (154), surrogacy (60), surrogates (27)",241
7k,swan,"swan (1018), swans (343)",1361
7k,swathe,"swathe (125), swath (18), swathed (100), swathes (71), swathing (5)",319
7k,swerve,"swerve (62), swerved (130), swerves (24), swerving (39), unswerving (50)",305
7k,swivel,"swivel (194), swiveled (0), swiveling (0), swivelled (145), swivelling (60), swivels (20)",419
7k,syllabus,"syllabus (596), syllabi (12), syllabuses (234)",842
7k,symposium,"symposium (257), symposia (35), symposiums (6)",298
7k,syringe,"syringe (189), syringes (107)",296
7k,systemic,"systemic (307), systemically (17)",324
7k,tacit,"tacit (287), tacitly (129), tacitness (0)",416
7k,tact,"tact (241), tactful (169), tactfully (157), tactfulness (2), tactless (72), tactlessly (13), tactlessness (11), tacts (0), untactful (0)",665
7k,taint,"taint (80), tainted (187), tainting (10), taints (10), untainted (56)",343
7k,tantalise,"tantalise (9), tantalised (12), tantalises (2), tantalising (157), tantalisingly (67), tantalize (7), tantalized (3), tantalizes (2), tantalizing (47), tantalizingly (22)",328
7k,taper,"taper (87), tapered (116), tapering (145), tapers (44)",392
7k,tapestry,"tapestry (249), tapestries (155)",404
7k,tar,"tar (287), tarred (72), tarring (14), tars (13)",386
7k,tatter,"tatter (3), tattered (180), tatters (96)",279
7k,taut,"taut (354), tauten (10), tautened (9), tautening (5), tautens (0), tauter (3), tautest (0), tautly (57), tautness (13)",451
7k,taxonomy,"taxonomy (133), taxonomic (184), taxonomies (16), taxonomist (5), taxonomists (28)",366
7k,teddy,"teddy (770), teddies (46)",816
7k,tedious,"tedious (506), tediously (19), tediousness (5)",530
7k,teller,"teller (254), tellers (69)",323
7k,temperate,"temperate (408), intemperate (33), intemperately (1), temperately (6), temperateness (1)",449
7k,tempered,"tempered (583), tempering (28)",611
7k,template,"template (303), templates (159)",462
7k,tempo,"tempo (361), tempi (33), tempos (70)",464
7k,tendon,"tendon (166), tendons (114)",280
7k,tenet,"tenet (76), tenets (159)",235
7k,tenor,"tenor (401), countertenor (11), countertenors (2), tenors (39)",453
7k,tentacle,"tentacle (421), tentacles (236)",657
7k,terrestrial,"terrestrial (333), terrestrially (0)",333
7k,thaw,"thaw (249), thawed (89), thawing (52), thaws (12)",402
7k,theorise,"theorise (27), theorised (17), theorises (2), theorising (79), theorize (19), theorized (21), theorizes (2), theorizing (103)",270
7k,thereof,thereof (466),466
7k,thrift,"thrift (179), thriftier (0), thriftiest (0), thriftily (2), thriftiness (6), thriftless (6), thrifts (49), thrifty (76)",318
7k,throng,"throng (214), thronged (103), thronging (28), throngs (24)",369
7k,throttle,"throttle (288), throttled (40), throttles (31), throttling (27)",386
7k,thud,"thud (206), thudded (57), thudding (121), thuddings (0), thuds (25)",409
7k,thug,"thug (94), thuggery (29), thugs (218)",341
7k,timid,"timid (276), timider (0), timidest (0), timidities (1), timidity (49), timidly (58), timidness (3)",387
7k,tinge,"tinge (167), tinged (230), tinges (13), tinging (2)",412
7k,tingle,"tingle (124), tingled (63), tingles (16), tingling (209), tinglings (0)",412
7k,tinker,"tinker (152), tinkered (28), tinkerer (4), tinkerers (3), tinkering (129), tinkers (76)",392
7k,tint,"tint (93), tinted (275), tinting (18), tintings (1), tints (59)",446
7k,tit,"tit (265), tits (238), titted (3), titties (7), titty (22)",535
7k,titan,"titan (119), titanic (157), titans (63)",339
7k,toad,"toad (313), toads (163)",476
7k,toil,"toil (178), toiled (62), toiler (7), toilers (10), toiling (58), toils (32)",347
7k,tonic,"tonic (540), tonics (72)",612
7k,tornado,"tornado (167), tornadoes (38), tornados (28)",233
7k,torrent,"torrent (253), torrential (161), torrents (70)",484
7k,torso,"torso (224), torsos (30)",254
7k,tort,"tort (422), torts (81)",503
7k,traitor,"traitor (241), traitorous (42), traitorously (4), traitors (126)",413
7k,trajectory,"trajectory (162), trajectories (124)",286
7k,tram,"tram (420), trams (370)",790
7k,tramp,"tramp (401), tramped (77), tramper (0), trampers (5), tramping (81), tramps (98)",662
7k,trample,"trample (75), trampled (175), trampler (0), tramplers (0), tramples (7), trampling (98)",355
7k,transfuse,"transfuse (4), transfused (25), transfuses (0), transfusing (0), transfusion (277), transfusions (97)",403
7k,transgress,"transgress (37), transgresses (0), transgressed (41), transgressing (23), transgression (121), transgressions (63), transgressive (69), transgressively (3)",357
7k,transnational,"transnational (386), transnationally (5)",391
7k,transparency,"transparency (204), transparencies (62)",266
7k,trawl,"trawl (67), trawled (30), trawler (74), trawlers (47), trawling (42), trawls (9)",269
7k,treason,"treason (341), treasonable (32), treasonous (5), treasons (6)",384
7k,trendy,"trendy (243), trendier (8), trendiest (11), trendily (5), trendiness (12)",279
7k,trespass,"trespass (295), trespassed (21), trespasser (95), trespassers (68), trespasses (41), trespassing (123)",643
7k,trillion,"trillion (127), trillions (20)",147
7k,trooper,"trooper (172), troopers (126)",298
7k,trough,"trough (337), troughs (160)",497
7k,truce,"truce (431), truces (17)",448
7k,trudge,"trudge (60), trudged (140), trudges (6), trudging (68)",274
7k,tuft,"tuft (66), tufted (130), tufts (133)",329
7k,tweed,"tweed (775), tweedier (0), tweediest (0), tweeds (57), tweedy (24)",856
7k,twinkle,"twinkle (179), twinkled (76), twinkles (5), twinkling (153)",413
7k,tyranny,"tyranny (278), tyrannies (21), tyrannise (2), tyrannised (5), tyrannises (1), tyrannising (1), tyrannize (3), tyrannized (2), tyrannizes (0), tyrannizing (1)",314
7k,uncanny,"uncanny (222), uncannier (0), uncanniest (1), uncannily (57)",280
7k,undercover,undercover (241),241
7k,undercut,"undercut (171), undercuts (15), undercutting (45)",231
7k,unix,unix (4595),4595
7k,unnerve,"unnerve (33), unnerved (115), unnerves (3), unnerving (171)",322
7k,unto,unto (381),381
7k,unwitting,"unwitting (86), unwittingly (298), witting (1), wittingly (21)",406
7k,upbringing,"upbringing (454), upbringings (1)",455
7k,upholster,"upholster (4), upholstered (141), upholsterer (24), upholsterers (17), upholstering (5), upholsters (1), upholstery (201)",393
7k,upland,"upland (352), uplands (353)",705
7k,upstream,upstream (417),417
7k,utilitarian,"utilitarian (263), utilitarianism (145), utilitarians (29)",437
7k,utmost,utmost (504),504
7k,utopia,"utopia (216), utopian (221), utopianism (26), utopias (27)",490
7k,vampire,"vampire (148), vampires (54)",202
7k,vanguard,"vanguard (306), vanguards (3)",309
7k,vanilla,vanilla (191),191
7k,vantage,"vantage (257), vantages (1)",258
7k,varnish,"varnish (355), unvarnished (24), varnished (103), varnishes (39), varnishing (19), varnishings (0)",540
7k,veer,"veer (61), veered (113), veering (51), veers (57)",282
7k,vehement,"vehement (106), vehemence (90), vehemently (220)",416
7k,venetian,"venetian (369), venetians (70)",439
7k,vengeance,"vengeance (388), vengeances (0)",388
7k,venom,"venom (253), envenom (2), envenomed (2), envenoming (0), envenoms (0), nonvenomous (0), venomous (135), venomously (23), venoms (21)",436
7k,vie,"vie (131), vied (56), vies (4), vying (96)",287
7k,vindicate,"vindicate (69), vindicated (209), vindicates (15), vindicating (15), vindication (102), vindications (2)",412
7k,vinyl,"vinyl (331), vinyls (17)",348
7k,violet,"violet (675), violets (118)",793
7k,viral,viral (434),434
7k,vodka,"vodka (312), vodkas (15)",327
7k,vogue,"vogue (390), vogues (6)",396
7k,vowel,"vowel (446), semivowel (1), semivowels (0), vowels (275)",722
7k,vulgar,"vulgar (343), vulgarer (0), vulgarest (0), vulgarisation (0), vulgarisations (0), vulgarise (0), vulgarised (3), vulgarises (0), vulgarising (0), vulgarism (4), vulgarities (9), vulgarity (89), vulgarization (4), vulgarizations (1), vulgarize (1), vulgarized (4), vulgarizer (0), vulgarizers (0), vulgarizes (0), vulgarizing (3), vulgarly (15)",476
7k,wag,"wag (105), wagged (67), wagging (136), wags (25)",333
7k,ware,"ware (263), wares (278)",541
7k,warhead,"warhead (77), warheads (187)",264
7k,watershed,"watershed (225), watersheds (20)",245
7k,watt,"watt (764), wattage (47), wattages (3), watts (481)",1295
7k,whack,"whack (109), whacked (74), whacker (6), whackers (0), whacking (44), whacks (19)",252
7k,whereabouts,whereabouts (541),541
7k,whim,"whim (243), whims (100)",343
7k,whoop,"whoop (83), whooped (43), whooper (28), whoopers (2), whooping (125), whoopings (0), whoops (195)",476
7k,wistful,"wistful (135), wistfully (194), wistfulness (26)",355
7k,womb,"womb (400), wombs (11)",411
7k,wooded,wooded (367),367
7k,workout,"workout (93), workouts (42)",135
7k,wrath,"wrath (343), wrathful (16), wrathfully (13), wraths (2)",374
7k,wreath,"wreath (177), wreathe (2), wreathed (84), wreathes (4), wreathing (5), wreaths (76)",348
7k,wriggle,"wriggle (147), wriggled (197), wriggler (1), wrigglers (2), wriggles (26), wriggling (141), wrigglings (1)",515
7k,wring,"wring (81), wringer (10), wringers (2), wringing (80), wrings (7), wrung (99)",279
7k,writ,"writ (548), writs (177)",725
7k,wrought,wrought (495),495
7k,yogurt,"yogurt (261), yogurts (9)",270
7k,zinc,"zinc (477), zincs (1)",478
8k,aback,aback (304),304
8k,abc,"abc (362), abcs (5)",367
8k,abhor,"abhor (42), abhorred (41), abhorrence (44), abhorrences (1), abhorrent (66), abhorring (11), abhors (24)",229
8k,abstain,"abstain (129), abstained (111), abstainer (3), abstainers (12), abstaining (55), abstains (2)",312
8k,abstinence,"abstinence (150), abstinences (3)",153
8k,accession,"accession (533), accessions (41)",574
8k,accomplice,"accomplice (191), accomplices (73)",264
8k,acoustic,"acoustic (784), acoustically (45), acoustics (123)",952
8k,adhesive,"adhesive (360), adhesives (63)",423
8k,adjunct,"adjunct (157), adjuncts (42)",199
8k,admissible,"admissible (245), admissibilities (0), admissibility (102), inadmissibility (6), inadmissible (89)",442
8k,adobe,"adobe (252), adobes (1)",253
8k,afloat,afloat (241),241
8k,afore,"afore (111), aforementioned (118)",229
8k,aft,aft (180),180
8k,agrarian,"agrarian (351), agrarianism (3)",354
8k,algebra,"algebra (194), algebraic (124), algebraically (25), algebras (9)",352
8k,alight,"alight (365), alighted (88), alighting (41), alights (13)",507
8k,allure,"allure (69), allured (4), allures (0), alluring (92), alluringly (8)",173
8k,allusion,"allusion (147), allusions (107)",254
8k,aloft,aloft (202),202
8k,aloof,"aloof (229), aloofly (3), aloofness (50)",282
8k,amalgamate,"amalgamate (58), amalgamated (307), amalgamates (2), amalgamating (31), amalgamation (251), amalgamations (52)",701
8k,amiable,"amiable (285), amiably (100), amiability (21)",406
8k,amiss,amiss (476),476
8k,amp,"amp (740), ampere (6), amperes (3), amps (212)",961
8k,amplitude,"amplitude (386), amplitudes (71)",457
8k,amputate,"amputate (19), amputated (89), amputates (3), amputating (2), amputation (67), amputations (24)",204
8k,analogue,"analogue (486), analogues (103)",589
8k,ancestry,"ancestry (224), ancestries (3)",227
8k,anew,anew (178),178
8k,animosity,"animosity (224), animosities (15)",239
8k,annihilate,"annihilate (48), annihilated (66), annihilates (8), annihilating (34), annihilation (111), annihilations (1)",268
8k,annuity,"annuity (177), annuities (64)",241
8k,antagonism,"antagonism (263), antagonisms (55)",318
8k,antecedent,"antecedent (141), antecedents (158)",299
8k,anterior,anterior (204),204
8k,anthology,"anthology (191), anthologies (49)",240
8k,antic,"antic (8), antics (243)",251
8k,antidote,"antidote (186), antidotes (19)",205
8k,antigen,"antigen (427), antigenic (34), antigenically (4), antigenicity (2), antigens (267)",734
8k,aperture,"aperture (168), apertures (45)",213
8k,apex,"apex (318), apexes (5)",323
8k,apiece,apiece (215),215
8k,append,"append (65), appendage (48), appendages (90), appended (99), appending (10), appends (6)",318
8k,appreciable,"appreciable (235), appreciably (137)",372
8k,apprehensive,"apprehensive (281), apprehensively (90), apprehensiveness (5)",376
8k,appropriable,"appropriable (0), inapproprible (0), inappropriability (0), appropriability (11)",11
8k,aptitude,"aptitude (190), aptitudes (64)",254
8k,archaic,"archaic (369), archaically (4)",373
8k,arduous,"arduous (241), arduously (5), arduousness (1)",247
8k,aromatic,"aromatic (303), aromatically (3)",306
8k,arsenal,"arsenal (1383), arsenals (58)",1441
8k,assent,"assent (412), assented (43), assenting (9), assents (14)",478
8k,asteroid,"asteroid (44), asteroids (55)",99
8k,astrology,"astrology (152), astrologer (95), astrologers (37), astrological (59), astrologically (2), astrologies (1), astrologist (0), astrologists (1)",347
8k,astute,"astute (239), astutely (30), astuteness (23)",292
8k,attenuate,"attenuate (29), attenuated (138), attenuates (6), attenuating (10), attenuation (142), attenuations (3)",328
8k,attire,"attire (112), attired (83), attires (0), attiring (0)",195
8k,auburn,auburn (111),111
8k,auspices,auspices (364),364
8k,autistic,"autistic (72), autism (30)",102
8k,autocrat,"autocrat (41), autocratic (206), autocratically (10), autocrats (12)",269
8k,automotive,"automotive (145), nonautomotive (0)",145
8k,autopsy,"autopsy (99), autopsies (17)",116
8k,avenge,"avenge (92), avenged (45), avenger (38), avengers (32), avenges (5), avenging (62)",274
8k,axle,"axle (184), axles (58)",242
8k,babble,"babble (111), babbled (29), babbles (2), babbling (62)",204
8k,backfire,"backfire (55), backfired (91), backfires (8), backfiring (4)",158
8k,baggy,"baggy (241), baggier (1), baggiest (0), baggily (1), bagginess (2)",245
8k,ballistic,ballistic (167),167
8k,banal,"banal (161), banalities (28), banality (69), banally (2)",260
8k,bandit,"bandit (80), banditry (25), bandits (142)",247
8k,barber,"barber (436), barbers (30)",466
8k,barter,"barter (169), bartered (31), barterer (0), barterers (0), bartering (36), barters (3)",239
8k,basal,"basal (556), basally (10)",566
8k,basil,"basil (801), basils (1)",802
8k,bask,"bask (82), basked (47), basking (108), basks (18)",255
8k,baton,"baton (218), batons (64)",282
8k,bazaar,"bazaar (217), bazaars (52)",269
8k,beau,"beau (131), beaus (2), beaux (112)",245
8k,beaver,"beaver (182), beavered (9), beavering (31), beavers (53)",275
8k,beech,"beech (435), beeches (84)",519
8k,beep,"beep (141), beeped (4), beeper (5), beepers (0), beeping (14), beeps (18)",182
8k,beet,"beet (138), beets (5)",143
8k,beige,beige (242),242
8k,belated,"belated (179), belatedly (201)",380
8k,beleaguer,"beleaguer (1), beleaguered (247), beleaguerers (0), beleagured (6), beleaguering (0)",254
8k,belie,"belie (34), belied (112), belies (72), belying (21)",239
8k,belligerent,"belligerent (115), belligerence (45), belligerency (8), belligerently (38), belligerents (36), nonbelligerent (0)",242
8k,bemuse,"bemuse (3), bemused (293), bemusedly (14), bemusement (17), bemuses (0), bemusing (6)",333
8k,benefactor,"benefactor (152), benefactors (109)",261
8k,beset,"beset (259), besets (13), besetting (31)",303
8k,besiege,"besiege (24), besieged (268), besieger (2), besiegers (20), besieges (1), besieging (41)",356
8k,bicker,"bicker (184), bickered (6), bickering (99), bickers (14)",303
8k,bigot,"bigot (21), bigoted (53), bigotries (2), bigotry (81), bigots (33)",190
8k,bikini,"bikini (148), bikinis (15)",163
8k,billow,"billow (20), billowed (55), billowing (136), billows (24)",235
8k,binge,"binge (162), binged (8), bingeing (36), binges (31), binging (3)",240
8k,biochemical,"biochemical (404), biochemically (20), biochemicals (19)",443
8k,biodiversity,"biodiversity (95), biodiverse (0), biodiversities (0)",95
8k,biographer,"biographer (209), biographers (76)",285
8k,biomass,"biomass (186), biomasses (0)",186
8k,birch,"birch (413), birched (7), birches (52), birching (13), birchings (0)",485
8k,blacksmith,"blacksmith (275), blacksmiths (89)",364
8k,blaspheme,"blaspheme (11), blasphemed (8), blasphemes (3), blasphemies (11), blaspheming (11), blasphemous (67), blasphemously (2), blasphemy (147)",260
8k,blindfold,"blindfold (89), blindfolded (107), blindfolding (2), blindfolds (7)",205
8k,blizzard,"blizzard (131), blizzards (30)",161
8k,bloat,"bloat (6), bloated (159), bloating (42), bloats (0)",207
8k,blockbuster,"blockbuster (122), blockbusters (43)",165
8k,blurt,"blurt (23), blurted (171), blurting (19), blurts (6)",219
8k,boar,"boar (395), boars (70)",465
8k,bogey,"bogey (152), bogeys (35), bogie (133), bogies (131), bogy (4)",455
8k,bogus,bogus (330),330
8k,bolshevik,"bolshevik (236), bolsheviks (231)",467
8k,bon,bon (257),257
8k,bonanza,"bonanza (297), bonanzas (5)",302
8k,bonnet,"bonnet (406), bonnets (58)",464
8k,boon,"boon (300), boons (4)",304
8k,bosom,"bosom (241), bosoms (38), bosomy (9)",288
8k,brash,"brash (151), brasher (30), brashest (2), brashly (12), brashness (22)",217
8k,brawl,"brawl (152), brawled (4), brawler (2), brawlers (5), brawling (45), brawls (33)",241
8k,brigadier,"brigadier (394), brig (273), brigadiers (7)",674
8k,broccoli,"broccoli (134), broccolis (0)",134
8k,brothel,"brothel (178), brothels (84)",262
8k,budge,"budge (147), budged (15), budges (0), budging (9)",171
8k,buggy,"buggy (206), buggies (32)",238
8k,bullshit,"bullshit (143), bullshits (0), bullshitted (0), bullshitter (5), bullshitters (0), bullshitting (5)",153
8k,butler,"butler (1381), butlers (40)",1421
8k,buttock,"buttock (39), buttocks (241)",280
8k,buttress,"buttress (208), buttressed (64), buttresses (100), buttressing (10)",382
8k,byte,"byte (226), bytes (207)",433
8k,cabaret,"cabaret (321), cabarets (6)",327
8k,cache,"cache (405), cached (37), caches (52), caching (25)",519
8k,cactus,"cactus (83), cacti (43), cactuses (7)",133
8k,cafeteria,"cafeteria (134), cafeterias (14)",148
8k,caffeine,caffeine (149),149
8k,camcorder,"camcorder (243), camcorders (74)",317
8k,canine,"canine (195), canines (33)",228
8k,cannibal,"cannibal (51), cannibalisation (1), cannibalise (4), cannibalised (10), cannibalises (2), cannibalising (7), cannibalism (75), cannibalization (0), cannibalize (5), cannibalized (6), cannibalizes (0), cannibalizing (3), cannibals (43), cannibalistic (22)",229
8k,cant,"cant (134), cants (2)",136
8k,captivate,"captivate (17), captivated (102), captivates (4), captivating (58), captivation (1)",182
8k,carbonate,"carbonate (505), carbonated (18), carbonates (124), carbonating (0)",647
8k,carcinogen,"carcinogen (31), carcinogenic (91), carcinogenicities (0), carcinogenicity (7), carcinogens (77)",206
8k,carnivore,"carnivore (51), carnivores (161), carnivorous (72), carnivorously (0), carnivorousness (0)",284
8k,cashier,"cashier (150), cashiers (39)",189
8k,casing,"casing (166), casings (43)",209
8k,casket,"casket (124), caskets (27)",151
8k,catalyse,"catalyse (33), catalysed (82), catalyses (18), catalysing (10), catalytic (266), catalyze (1), catalyzed (5), catalyzes (3), catalyzing (1)",419
8k,catapult,"catapult (156), catapulted (72), catapulting (11), catapults (32)",271
8k,caucus,"caucus (94), caucuses (22)",116
8k,celestial,"celestial (159), celestially (1)",160
8k,celibacy,"celibacy (158), celibacies (0), celibate (111), celibates (4)",273
8k,cello,"cello (193), cellos (50)",243
8k,censure,"censure (173), censured (62), censures (17), censuring (6)",258
8k,centrifuge,"centrifuge (50), centrifugal (74), centrifugally (2), centrifugals (0), centrifugation (73), centrifuged (89), centrifuges (14), centrifuging (7)",309
8k,chandelier,"chandelier (83), chandeliers (118)",201
8k,chariot,"chariot (237), charioted (0), charioteer (23), charioteers (13), charioting (0), chariots (103)",376
8k,chassis,chassis (326),326
8k,chaste,"chaste (104), chastely (10), chasteness (1), chastities (0), chastity (129), unchaste (11)",255
8k,chateau,"chateau (253), chateaus (0), chateaux (27), château (0), châteaux (0)",280
8k,chauffeur,"chauffeur (326), chauffeured (25), chauffeuring (6), chauffeurs (31)",388
8k,chloride,"chloride (404), chlorides (19)",423
8k,cholera,"cholera (376), choleras (0)",376
8k,christen,"christen (34), christened (204), christening (104), christenings (19), christens (0)",361
8k,chrome,"chrome (209), chromes (1)",210
8k,chute,"chute (139), chutes (55)",194
8k,circa,circa (219),219
8k,circumvent,"circumvent (121), circumvented (62), circumventing (28), circumvention (6), circumvents (8)",225
8k,citadel,"citadel (207), citadels (18)",225
8k,citrus,citrus (158),158
8k,clam,"clam (79), clammed (20), clamming (3), clams (59)",161
8k,clandestine,"clandestine (184), clandestinely (24)",208
8k,clarinet,"clarinet (242), clarinetist (4), clarinetists (0), clarinets (54)",300
8k,cliche,"cliche (91), cliched (9), cliches (83), cliché (0), clichéd (0), clichés (0)",183
8k,clientele,"clientele (213), clienteles (7)",220
8k,clover,"clover (221), clovers (37)",258
8k,cobalt,cobalt (317),317
8k,cobra,"cobra (223), cobras (35)",258
8k,codify,"codify (30), codification (73), codifications (2), codified (92), codifies (5), codifying (17)",219
8k,cognition,"cognition (139), cognitional (0), cognitions (11)",150
8k,cola,"cola (498), colas (21)",519
8k,coli,coli (336),336
8k,collage,"collage (157), collages (56)",213
8k,collateral,"collateral (214), collateralize (0), collateralized (1), collateralizes (0), collateralizing (0), collaterally (0), collaterals (7)",222
8k,collude,"collude (49), colluded (31), colludes (4), colluding (38), collusion (255)",377
8k,colossal,"colossal (235), colossally (6)",241
8k,com,com (264),264
8k,combo,"combo (249), combos (38)",287
8k,commons,commons (3666),3666
8k,commotion,"commotion (196), commotions (4)",200
8k,commune,"commune (267), communes (112), communing (24)",403
8k,composure,"composure (274), composures (0)",274
8k,compulsive,"compulsive (246), compulsively (31), compulsiveness (0)",277
8k,concerted,"concerted (309), concertedly (4)",313
8k,concise,"concise (287), concisely (60), conciseness (12)",359
8k,concomitant,"concomitant (224), concomitantly (19)",243
8k,condescend,"condescend (14), condescended (17), condescending (88), condescendingly (13), condescends (5), condescension (76)",213
8k,condone,"condone (108), condoned (90), condones (22), condoning (57)",277
8k,conducive,"conducive (291), conducively (0)",291
8k,confection,"confection (45), confectionary (4), confectioner (24), confectioneries (1), confectioners (39), confectionery (110), confections (19)",242
8k,congenital,"congenital (254), congenitally (19)",273
8k,conifer,"conifer (123), coniferous (69), conifers (176)",368
